timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
2013-09-18T00:00:00.000Z;2013-09-18T23:59:59.999Z;2013-09-18T00:00:00.000Z;2013-09-18T00:00:00.000Z;131.710006714;133.199996948;130.539993286;131.470001221;0;1540598327.5;11718250;2013-09-18T23:59:59.999Z
2013-09-19T00:00:00.000Z;2013-09-19T23:59:59.999Z;2013-09-19T00:00:00.000Z;2013-09-19T00:00:00.000Z;131.369995117;131.770004272;128.449996948;129.649993897;0;1519883708.75;11722975;2013-09-19T23:59:59.999Z
2013-09-20T00:00:00.000Z;2013-09-20T23:59:59.999Z;2013-09-20T00:00:00.000Z;2013-09-20T00:00:00.000Z;129.699996948;135.619995117;126.680000305;127.040000916;0;1489921944;11727975;2013-09-20T23:59:59.999Z
2013-09-21T00:00:00.000Z;2013-09-21T23:59:59.999Z;2013-09-21T00:00:00.000Z;2013-09-21T00:00:00.000Z;126.949996948;128.61000061;126.239997864;127.430000305;0;1495101146.75;11732725;2013-09-21T23:59:59.999Z
2013-09-22T00:00:00.000Z;2013-09-22T23:59:59.999Z;2013-09-22T00:00:00.000Z;2013-09-22T00:00:00.000Z;127.870002747;133.940002441;126.589996338;129.119995117;0;1515584736;11737800;2013-09-22T23:59:59.999Z
2013-09-23T00:00:00.000Z;2013-09-23T23:59:59.999Z;2013-09-23T00:00:00.000Z;2013-09-23T00:00:00.000Z;128.979995728;132.725006103;125.660003662;125.949996948;0;1479037147.5;11743050;2013-09-23T23:59:59.999Z
2013-09-24T00:00:00.000Z;2013-09-24T23:59:59.999Z;2013-09-24T00:00:00.000Z;2013-09-24T00:00:00.000Z;126.050003052;127.459999084;125.38999939;127.25;0;1494974356.25;11748325;2013-09-24T23:59:59.999Z
2013-09-25T00:00:00.000Z;2013-09-25T23:59:59.999Z;2013-09-25T00:00:00.000Z;2013-09-25T00:00:00.000Z;127.379997253;129.690002441;127.330001831;128.220001221;0;1507033770;11753500;2013-09-25T23:59:59.999Z
2013-09-26T00:00:00.000Z;2013-09-26T23:59:59.999Z;2013-09-26T00:00:00.000Z;2013-09-26T00:00:00.000Z;128.210006714;134.934005737;127.319999695;128.380004883;0;1509434269;11757550;2013-09-26T23:59:59.999Z
2013-09-27T00:00:00.000Z;2013-09-27T23:59:59.999Z;2013-09-27T00:00:00.000Z;2013-09-27T00:00:00.000Z;128.940002441;134.740005493;128.490005493;133.779998779;0;1573520360;11762000;2013-09-27T23:59:59.999Z
2013-09-28T00:00:00.000Z;2013-09-28T23:59:59.999Z;2013-09-28T00:00:00.000Z;2013-09-28T00:00:00.000Z;133.770004272;135.630004883;132.559997559;134.779998779;0;1585878761.5;11766425;2013-09-28T23:59:59.999Z
