timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2013-04-14T00:00:00.000Z";"2013-04-14T23:59:59.999Z";"2013-04-14T00:19:00.000Z";"2013-04-14T11:33:00.000Z";"2781";114.86161727;117.55489958;84.96775029;93.2782107;166700.04;1029239938.71;11034087.5;"2013-04-14T23:59:59.999Z"
"2013-04-13T00:00:00.000Z";"2013-04-13T23:59:59.999Z";"2013-04-13T21:02:00.000Z";"2013-04-13T02:30:00.000Z";"2781";117.57126699;125.65265889;97.57958478;115.00041194;238181.43;1268484731.31;11030262.5;"2013-04-13T23:59:59.999Z"
"2013-04-12T00:00:00.000Z";"2013-04-12T23:59:59.999Z";"2013-04-12T00:00:00.000Z";"2013-04-12T15:03:00.000Z";"2781";150.85380718;150.85380718;98.20111074;117.58558608;554438.61;1296508960.86;11026087.5;"2013-04-12T23:59:59.999Z"
"2013-04-11T00:00:00.000Z";"2013-04-11T23:59:59.999Z";"2013-04-11T00:10:00.000Z";"2013-04-11T13:33:00.000Z";"2781";227.97921023;232.11148079;143.34274538;151.03559838;118714.77;1664678494.39;11021737.5;"2013-04-11T23:59:59.999Z"
"2013-04-10T00:00:00.000Z";"2013-04-10T23:59:59.999Z";"2013-04-10T15:23:00.000Z";"2013-04-10T00:12:00.000Z";"2781";190.0104272;250.18543566;184.08305658;228.19894118;190313.55;2514241736.68;11017762.5;"2013-04-10T23:59:59.999Z"
"2013-04-09T00:00:00.000Z";"2013-04-09T23:59:59.999Z";"2013-04-09T18:52:00.000Z";"2013-04-09T01:08:00.000Z";"2781";182.57820022;218.86432626;176.08476171;189.90842722;105926.64;2091459135.12;11012987.5;"2013-04-09T23:59:59.999Z"
"2013-04-08T00:00:00.000Z";"2013-04-08T23:59:59.999Z";"2013-04-08T01:01:00.000Z";"2013-04-08T00:00:00.000Z";"2781";153.78325931;205.42635035;153.78325931;182.51162327;114414.96;2009195174.54;11008587.5;"2013-04-08T23:59:59.999Z"
"2013-04-07T00:00:00.000Z";"2013-04-07T23:59:59.999Z";"2013-04-07T00:57:00.000Z";"2013-04-07T17:38:00.000Z";"2781";142.55671787;166.5543644;139.50819302;152.89229638;60994.86;1682531942.82;11004662.5;"2013-04-07T23:59:59.999Z"
"2013-04-06T00:00:00.000Z";"2013-04-06T23:59:59.999Z";"2013-04-06T00:18:00.000Z";"2013-04-06T02:44:00.000Z";"2781";139.71194721;145.89388569;114.91242591;142.16482287;18370.26;1563899979.44;11000611.46;"2013-04-06T23:59:59.999Z"
"2013-04-05T00:00:00.000Z";"2013-04-05T23:59:59.999Z";"2013-04-05T22:19:00.000Z";"2013-04-05T01:49:00.000Z";"2781";131.17283377;148.36597185;113.22537809;139.7593577;68281.6;1536863340.21;10996496.88;"2013-04-05T23:59:59.999Z"
"2013-04-04T00:00:00.000Z";"2013-04-04T23:59:59.999Z";"2013-04-04T02:16:00.000Z";"2013-04-04T18:06:00.000Z";"2781";121.56722721;137.92945684;119.05496851;131.20908845;88736.02;1442327385.59;10992562.5;"2013-04-04T23:59:59.999Z"
"2013-04-03T00:00:00.000Z";"2013-04-03T23:59:59.999Z";"2013-04-03T12:52:00.000Z";"2013-04-03T01:31:00.000Z";"2781";105.72455272;141.62426909;99.85990972;121.52853964;153128.17;1335441296.51;10988705.21;"2013-04-03T23:59:59.999Z"
"2013-04-02T00:00:00.000Z";"2013-04-02T23:59:59.999Z";"2013-04-02T03:27:00.000Z";"2013-04-02T00:36:00.000Z";"2781";99.56835171;111.16744287;94.30860758;105.68146435;81672.99;1160843513.96;10984362.5;"2013-04-02T23:59:59.999Z"
"2013-04-01T00:00:00.000Z";"2013-04-01T23:59:59.999Z";"2013-04-01T23:20:00.000Z";"2013-04-01T07:12:00.000Z";"2781";92.47043987;100.7379439;82.99301486;99.56809331;90446.98;1093241069.87;10979833.33;"2013-04-01T23:59:59.999Z"
"2013-03-31T00:00:00.000Z";"2013-03-31T23:59:59.999Z";"2013-03-31T18:40:00.000Z";"2013-03-31T01:41:00.000Z";"2781";91.94565984;101.08286164;83.6270888;92.52372102;21117.06;1015436079.98;10974846.88;"2013-03-31T23:59:59.999Z"
"2013-03-30T00:00:00.000Z";"2013-03-30T23:59:59.999Z";"2013-03-30T22:09:00.000Z";"2013-03-30T02:35:00.000Z";"2781";88.02659634;94.77866004;75.06716119;91.95877005;37290.15;1008848630.14;10970662.5;"2013-03-30T23:59:59.999Z"
"2013-03-29T00:00:00.000Z";"2013-03-29T23:59:59.999Z";"2013-03-29T08:41:00.000Z";"2013-03-29T00:17:00.000Z";"2781";86.39457912;110.10496404;83.11275841;88.09236833;83237.59;966046421.19;10966262.5;"2013-03-29T23:59:59.999Z"
"2013-03-28T00:00:00.000Z";"2013-03-28T23:59:59.999Z";"2013-03-28T23:58:00.000Z";"2013-03-28T04:29:00.000Z";"2781";83.33486961;86.40715354;71.87631165;86.24812092;140006;945450823.43;10961962.5;"2013-03-28T23:59:59.999Z"
"2013-03-27T00:00:00.000Z";"2013-03-27T23:59:59.999Z";"2013-03-27T09:47:00.000Z";"2013-03-27T02:15:00.000Z";"2781";75.71086481;87.46415518;71.83052606;83.41769084;71795.34;914042048.34;10957412.5;"2013-03-27T23:59:59.999Z"
"2013-03-26T00:00:00.000Z";"2013-03-26T23:59:59.999Z";"2013-03-26T20:44:00.000Z";"2013-03-26T02:10:00.000Z";"2781";73.19709763;81.89516138;65.26669894;75.6978879;56618.31;829203180.07;10954087.5;"2013-03-26T23:59:59.999Z"
"2013-03-25T00:00:00.000Z";"2013-03-25T23:59:59.999Z";"2013-03-25T21:55:00.000Z";"2013-03-25T01:50:00.000Z";"2781";70.71044003;77.76890517;61.02490678;73.21213293;79467.48;801699394.99;10950337.5;"2013-03-25T23:59:59.999Z"
"2013-03-24T00:00:00.000Z";"2013-03-24T23:59:59.999Z";"2013-03-24T18:36:00.000Z";"2013-03-24T02:48:00.000Z";"2781";69.32250719;73.69499494;58.85496101;71.01798974;41913.59;777417066.92;10946762.5;"2013-03-24T23:59:59.999Z"
"2013-03-23T00:00:00.000Z";"2013-03-23T23:59:59.999Z";"2013-03-23T21:19:00.000Z";"2013-03-23T03:22:00.000Z";"2781";69.80890912;75.36221033;63.04311152;69.46378311;150321.04;760073583.09;10942012.5;"2013-03-23T23:59:59.999Z"
"2013-03-22T00:00:00.000Z";"2013-03-22T23:59:59.999Z";"2013-03-22T01:35:00.000Z";"2013-03-22T00:00:00.000Z";"2781";66.57375509;88.68329413;66.57375509;69.98967503;73103.28;765449954.81;10936612.5;"2013-03-22T23:59:59.999Z"
"2013-03-21T00:00:00.000Z";"2013-03-21T23:59:59.999Z";"2013-03-21T03:16:00.000Z";"2013-03-21T00:21:00.000Z";"2781";63.09676946;83.13601967;62.35370176;66.51211423;94152.86;727036438.04;10930887.5;"2013-03-21T23:59:59.999Z"
